GeoName,State,2015
Urban Honolulu,HI,124.5
San Jose-Sunnyvale-Santa Clara,CA,124.1
Santa Cruz-Watsonville,CA,122
New York-Newark-Jersey City,NY-NJ-PA,121.9
San Francisco-Oakland-Hayward,CA,121.9
Bridgeport-Stamford-Norwalk,CT,120.1
Napa,CA,120.1
Washington-Arlington-Alexandria,DC-VA-MD-WV,119.1
Santa Rosa,CA,118.5
Los Angeles-Long Beach-Anaheim,CA,117.6
San Diego-Carlsbad,CA,116.6
Oxnard-Thousand Oaks-Ventura,CA,116.1
Vallejo-Fairfield,CA,115.9
New Haven-Milford,CT,112.1
Trenton,NJ,112
Boston-Cambridge-Newton,MA-NH,110.3
Boulder,CO,110.1
Anchorage,AK,109.4
Santa Maria-Santa Barbara,CA,109.4
Seattle-Tacoma-Bellevue,WA,109.4
Salinas,CA,108.5
Manchester-Nashua,NH,107.9
Baltimore-Columbia-Towson,MD,107.5
San Luis Obispo-Paso Robles-Arroyo Grande,CA,107.3
Kahului-Wailuku-Lahaina,HI,107.1
Miami-Fort Lauderdale-West Palm Beach,FL,106.8
Ocean City,NJ,106.8
Riverside-San Bernardino-Ontario,CA,106.7
Fairbanks,AK,106.4
Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,106.3
Olympia-Tumwater,WA,106.2
Bremerton-Silverdale,WA,106
Denver-Aurora-Lakewood,CO,106
Ithaca,NY,105.2
Atlantic City-Hammonton,NJ,105.1
Chicago-Naperville-Elgin,IL-IN-WI,104.6
Kingston,NY,103.6
Worcester,MA-CT,103.5
Burlington-South Burlington,VT,103.2
Sacramento--Roseville--Arden-Arcade,CA,102.6
Barnstable Town,MA,102.5
Minneapolis-St. Paul-Bloomington,MN-WI,102.4
Fort Collins,CO,102.2
State College,PA,102.1
Ann Arbor,MI,101.9
Portland-Vancouver-Hillsboro,OR-WA,101.8
Portland-South Portland,ME,101
Houston-The Woodlands-Sugar Land,TX,100.9
Hartford-West Hartford-East Hartford,CT,100.8
Tampa-St. Petersburg-Clearwater,FL,100.7
Hagerstown-Martinsburg,MD-WV,100.6
Midland,TX,100.5
Allentown-Bethlehem-Easton,PA-NJ,100.4
Bellingham,WA,100.4
Stockton-Lodi,CA,100.4
Norwich-New London,CT,100.3
Colorado Springs,CO,100.2
Santa Fe,NM,100.1
Vineland-Bridgeton,NJ,100.1
Dallas-Fort Worth-Arlington,TX,100
Naples-Immokalee-Marco Island,FL,100
Salt Lake City,UT,100
Albany-Schenectady-Troy,NY,99.7
Chico,CA,99.7
Greeley,CO,99.7
Austin-Round Rock,TX,99.5
Corvallis,OR,99.2
Providence-Warwick,RI-MA,99.1
Reno,NV,99.1
East Stroudsburg,PA,98.9
Billings,MT,98.8
North Port-Sarasota-Bradenton,FL,98.8
California-Lexington Park,MD,98.7
Lancaster,PA,98.7
Las Vegas-Henderson-Paradise,NV,98.7
Modesto,CA,98.7
Yuba City,CA,98.7
Flagstaff,AZ,98.6
Eugene,OR,98.5
Medford,OR,98.5
Watertown-Fort Drum,NY,98.3
Casper,WY,98.1
Charlottesville,VA,98.1
Cheyenne,WY,98.1
Redding,CA,98.1
Virginia Beach-Norfolk-Newport News,VA-NC,98
Bakersfield,CA,97.9
Kennewick-Richland,WA,97.8
Madison,WI,97.8
Orlando-Kissimmee-Sanford,FL,97.8
Mount Vernon-Anacortes,WA,97.6
Odessa,TX,97.6
Rochester,NY,97.6
Kankakee,IL,97.5
Provo-Orem,UT,97.5
Albuquerque,NM,97.4
Springfield,MA,97.3
Fresno,CA,97.2
Phoenix-Mesa-Scottsdale,AZ,97.2
Tucson,AZ,97
Bend-Redmond,OR,96.9
Detroit-Warren-Dearborn,MI,96.6
Glens Falls,NY,96.3
Iowa City,IA,96.2
Madera,CA,96.2
York-Hanover,PA,96.2
Atlanta-Sandy Springs-Roswell,GA,96.1
Charleston-North Charleston,SC,96.1
Richmond,VA,96.1
Harrisburg-Carlisle,PA,96
Missoula,MT,96
Bangor,ME,95.9
Syracuse,NY,95.9
Gettysburg,PA,95.8
Jacksonville,FL,95.8
Port St. Lucie,FL,95.8
Raleigh,NC,95.8
Milwaukee-Waukesha-West Allis,WI,95.7
New Orleans-Metairie,LA,95.6
Ogden-Clearfield,UT,95.6
Spokane-Spokane Valley,WA,95.6
Deltona-Daytona Beach-Ormond Beach,FL,95.5
Reading,PA,95.5
Salem,OR,95.5
Cape Coral-Fort Myers,FL,95.4
Visalia-Porterville,CA,95.4
Carson City,NV,95.3
Durham-Chapel Hill,NC,95.3
Palm Bay-Melbourne-Titusville,FL,95.3
Boise City,ID,95.2
Prescott,AZ,95.2
Binghamton,NY,95.1
Crestview-Fort Walton Beach-Destin,FL,95.1
Pittsfield,MA,95.1
Des Moines-West Des Moines,IA,95
Merced,CA,95
Lebanon,PA,94.9
Wenatchee,WA,94.9
Pittsburgh,PA,94.7
Yakima,WA,94.7
Bloomington,IN,94.6
Elmira,NY,94.6
Gainesville,FL,94.6
Monroe,MI,94.6
Punta Gorda,FL,94.6
Grand Junction,CO,94.4
San Antonio-New Braunfels,TX,94.4
Bismarck,ND,94.2
Dover,DE,94.2
Lewiston-Auburn,ME,94.2
Panama City,FL,94.2
Bloomington,IL,94.1
Grand Forks,ND-MN,94.1
Hilton Head Island-Bluffton-Beaufort,SC,94.1
Longview,WA,94.1
Victoria,TX,94.1
Tyler,TX,94
Wilmington,NC,94
Buffalo-Cheektowaga-Niagara Falls,NY,93.9
Champaign-Urbana,IL,93.9
Grants Pass,OR,93.9
Great Falls,MT,93.9
Nashville-Davidson--Murfreesboro--Franklin,TN,93.9
San Angelo,TX,93.9
St. George,UT,93.8
Walla Walla,WA,93.8
Bloomsburg-Berwick,PA,93.7
Grand Rapids-Wyoming,MI,93.7
Kansas City,MO-KS,93.7
Omaha-Council Bluffs,NE-IA,93.7
Albany,OR,93.6
Chambersburg-Waynesboro,PA,93.6
Racine,WI,93.6
Rochester,MN,93.6
Savannah,GA,93.6
Charlotte-Concord-Gastonia,NC-SC,93.5
Coeur d'Alene,ID,93.5
College Station-Bryan,TX,93.5
Lafayette-West Lafayette,IN,93.5
Corpus Christi,TX,93.4
Lubbock,TX,93.4
Utica-Rome,NY,93.4
Lansing-East Lansing,MI,93.3
Tallahassee,FL,93.3
Jacksonville,NC,93.2
Lawrence,KS,93.2
Columbus,OH,93.1
Indianapolis-Carmel-Anderson,IN,93.1
Manhattan,KS,93.1
Amarillo,TX,93
Asheville,NC,93
Lake Havasu City-Kingman,AZ,93
Pensacola-Ferry Pass-Brent,FL,93
Williamsport,PA,93
Baton Rouge,LA,92.9
Fargo,ND-MN,92.9
La Crosse-Onalaska,WI-MN,92.9
Lakeland-Winter Haven,FL,92.9
Yuma,AZ,92.9
Lincoln,NE,92.8
Hanford-Corcoran,CA,92.7
Appleton,WI,92.4
Erie,PA,92.4
St. Cloud,MN,92.4
Sioux Falls,SD,92.4
Dubuque,IA,92.3
Las Cruces,NM,92.3
Columbia,MO,92.2
Killeen-Temple,TX,92.1
Oklahoma City,OK,92.1
Pueblo,CO,92.1
Scranton--Wilkes-Barre--Hazleton,PA,92
Janesville-Beloit,WI,91.9
Kalamazoo-Portage,MI,91.9
Lexington-Fayette,KY,91.9
Columbia,SC,91.7
Eau Claire,WI,91.7
Longview,TX,91.7
Peoria,IL,91.7
The Villages,FL,91.7
Athens-Clarke County,GA,91.6
Green Bay,WI,91.6
Rapid City,SD,91.6
Winchester,VA-WV,91.6
Flint,MI,91.5
Houma-Thibodaux,LA,91.5
Memphis,TN-MS-AR,91.5
Sebastian-Vero Beach,FL,91.5
Waco,TX,91.5
Ames,IA,91.3
Morgantown,WV,91.3
Oshkosh-Neenah,WI,91.3
Roanoke,VA,91.3
Sherman-Denison,TX,91.3
Daphne-Fairhope-Foley,AL,91.2
Louisville/Jefferson County,KY-IN,91.2
Springfield,IL,91.2
Wausau,WI,91.2
Battle Creek,MI,91.1
Midland,MI,91.1
Abilene,TX,91
Clarksville,TN-KY,91
Tulsa,OK,91
Elkhart-Goshen,IN,90.9
Little Rock-North Little Rock-Conway,AR,90.9
Lynchburg,VA,90.9
Sheboygan,WI,90.9
Duluth,MN-WI,90.8
Waterloo-Cedar Falls,IA,90.8
Fayetteville,NC,90.7
Myrtle Beach-Conway-North Myrtle Beach,SC-NC,90.7
Wichita,KS,90.7
Lawton,OK,90.6
Rockford,IL,90.6
St. Louis,MO-IL,90.6
Davenport-Moline-Rock Island,IA-IL,90.5
Dayton,OH,90.5
Hinesville,GA,90.5
Lewiston,ID-WA,90.4
Shreveport-Bossier City,LA,90.4
Logan,UT-ID,90.3
Beaumont-Port Arthur,TX,90.2
Farmington,NM,90.2
Jackson,MS,90.2
Ocala,FL,90.2
Salisbury,MD-DE,90.2
Fort Wayne,IN,90.1
Wichita Falls,TX,90.1
Burlington,NC,90
Enid,OK,90
Evansville,IN-KY,90
Greensboro-High Point,NC,90
Huntsville,AL,89.9
Chattanooga,TN-GA,89.9
Harrisonburg,VA,89.9
Jackson,MI,89.9
Cedar Rapids,IA,89.8
Fayetteville-Springdale-Rogers,AR-MO,89.8
Greenville-Anderson-Mauldin,SC,89.8
Akron,OH,89.7
Cleveland-Elyria,OH,89.7
Sierra Vista-Douglas,AZ,89.7
El Centro,CA,89.6
Altoona,PA,89.5
Gulfport-Biloxi-Pascagoula,MS,89.5
Warner Robins,GA,89.5
Blacksburg-Christiansburg-Radford,VA,89.4
Columbus,GA-AL,89.4
Idaho Falls,ID,89.4
Niles-Benton Harbor,MI,89.4
Topeka,KS,89.4
Winston-Salem,NC,89.4
Montgomery,AL,89.3
El Paso,TX,89.3
Knoxville,TN,89.3
South Bend-Mishawaka,IN-MI,89.3
Birmingham-Hoover,AL,89.2
Cincinnati,OH-KY-IN,89.2
Gainesville,GA,89.2
Lafayette,LA,89.2
Mankato-North Mankato,MN,89.2
Pocatello,ID,89.2
Toledo,OH,89.2
Saginaw,MI,89.1
Canton-Massillon,OH,89
Lake Charles,LA,89
Laredo,TX,88.8
Augusta-Richmond County,GA-SC,88.7
Lima,OH,88.7
Sioux City,IA-NE-SD,88.7
Bay City,MI,88.6
Muncie,IN,88.6
Greenville,NC,88.4
Alexandria,LA,88.3
Springfield,MO,88.3
St. Joseph,MO-KS,88.2
Tuscaloosa,AL,88.1
Joplin,MO,88.1
Mobile,AL,88
Homosassa Springs,FL,88
Johnson City,TN,88
Muskegon,MI,87.9
Goldsboro,NC,87.8
Springfield,OH,87.8
Terre Haute,IN,87.8
Columbus,IN,87.7
Cumberland,MD-WV,87.7
Sumter,SC,87.7
Youngstown-Warren-Boardman,OH-PA,87.7
Decatur,IL,87.6
Staunton-Waynesboro,VA,87.6
Charleston,WV,87.5
Hickory-Lenoir-Morganton,NC,87.5
Owensboro,KY,87.5
Spartanburg,SC,87.4
Fond du Lac,WI,87.3
Macon-Bibb County,GA,86.8
New Bern,NC,86.7
Brunswick,GA,86.6
Texarkana,TX-AR,86.6
Decatur,AL,86.5
Huntington-Ashland,WV-KY-OH,86.4
Kokomo,IN,86.4
Parkersburg-Vienna,WV,86.3
Wheeling,WV-OH,86.3
Elizabethtown-Fort Knox,KY,86.1
Hammond,LA,86.1
Mansfield,OH,85.9
Monroe,LA,85.9
Florence,SC,85.8
Grand Island,NE,85.8
Bowling Green,KY,85.7
Johnstown,PA,85.7
Michigan City-La Porte,IN,85.6
Weirton-Steubenville,WV-OH,85.6
Fort Smith,AR-OK,85.4
Hot Springs,AR,85.2
Kingsport-Bristol-Bristol,TN-VA,85.2
McAllen-Edinburg-Mission,TX,85.1
Rocky Mount,NC,85.1
Dothan,AL,84.9
Auburn-Opelika,AL,84.7
Gadsden,AL,84.5
Cleveland,TN,84.4
Dalton,GA,84.2
Anniston-Oxford-Jacksonville,AL,84.1
Brownsville-Harlingen,TX,84
Carbondale-Marion,IL,83.9
Albany,GA,83.8
Florence-Muscle Shoals,AL,83.8
Pine Bluff,AR,83.5
Cape Girardeau,MO-IL,82.7
Hattiesburg,MS,82.6
Jefferson City,MO,82.4
Jackson,TN,82.1
Jonesboro,AR,81.9
Sebring,FL,81.9
Morristown,TN,81.3
Danville,IL,81.2
Valdosta,GA,81.1
Rome,GA,80.2
Beckley,WV,79.7